raceId,seriesId,season,trackId,layoutId,trackSafety,race_date,name,championship,reputation,reward,wet
37,5,1897,1,1,244,1897-12-12,Preteky Formula 2,True,250,250000,1.0
38,6,1897,3,3,500,1897-12-12,Preteky Formula 3,True,166,166666,1.0
39,1,1898,2,2,700,1898-01-30,Preteky Formula 1,True,1000,1000000,1.0
40,3,1898,2,2,700,1898-01-30,Preteky Formula E,True,166,166666,1.0
41,5,1898,0,0,55,1898-01-30,Preteky Formula 2,True,250,250000,1.0
42,6,1898,3,3,500,1898-01-30,Preteky Formula 3,True,166,166666,1.0
43,1,1898,3,3,500,1898-03-06,Preteky Formula 1,True,1000,1000000,1.0
44,3,1898,1,1,244,1898-03-06,Preteky Formula E,True,166,166666,1.0
45,5,1898,3,3,500,1898-03-06,Preteky Formula 2,True,250,250000,1.0
46,6,1898,2,2,700,1898-03-06,Preteky Formula 3,True,166,166666,1.0
47,1,1898,2,2,700,1898-04-10,Preteky Formula 1,True,1000,1000000,1.0
48,3,1898,1,1,244,1898-04-10,Preteky Formula E,True,166,166666,1.16
49,5,1898,3,3,500,1898-04-10,Preteky Formula 2,True,250,250000,1.0
50,6,1898,0,0,55,1898-04-10,Preteky Formula 3,True,166,166666,1.0
51,1,1898,0,0,55,1898-05-15,Preteky Formula 1,True,1000,1000000,1.0
52,3,1898,3,3,500,1898-05-15,Preteky Formula E,True,166,166666,1.0
53,5,1898,1,1,244,1898-05-15,Preteky Formula 2,True,250,250000,1.0
54,6,1898,1,1,244,1898-05-15,Preteky Formula 3,True,166,166666,1.0
55,1,1898,0,0,55,1898-06-19,Preteky Formula 1,True,1000,1000000,1.0
56,3,1898,3,3,500,1898-06-19,Preteky Formula E,True,166,166666,1.0
57,5,1898,1,1,244,1898-06-19,Preteky Formula 2,True,250,250000,1.0
58,6,1898,0,0,55,1898-06-19,Preteky Formula 3,True,166,166666,1.28
59,1,1898,3,3,500,1898-07-24,Preteky Formula 1,True,1000,1000000,1.0
60,3,1898,3,3,500,1898-07-24,Preteky Formula E,True,166,166666,1.0
61,5,1898,3,3,500,1898-07-24,Preteky Formula 2,True,250,250000,1.0
62,6,1898,2,2,700,1898-07-24,Preteky Formula 3,False,166,166666,1.4
63,1,1898,0,0,55,1898-08-28,Preteky Formula 1,True,1000,1000000,1.0
64,3,1898,1,1,244,1898-08-28,Preteky Formula E,True,166,166666,1.0
65,5,1898,2,2,700,1898-08-28,Preteky Formula 2,True,250,250000,1.17
66,6,1898,1,1,244,1898-08-28,Preteky Formula 3,True,166,166666,1.0
67,1,1898,2,2,700,1898-10-02,Preteky Formula 1,True,1000,1000000,1.0
68,3,1898,3,3,500,1898-10-02,Preteky Formula E,True,166,166666,1.0
69,5,1898,1,1,244,1898-10-02,Preteky Formula 2,True,250,250000,1.0
70,6,1898,2,2,700,1898-10-02,Preteky Formula 3,True,166,166666,1.0
71,1,1898,2,2,700,1898-11-06,Preteky Formula 1,True,1000,1000000,1.0
72,3,1898,1,1,244,1898-11-06,Preteky Formula E,True,166,166666,1.0
73,5,1898,1,1,244,1898-11-06,Preteky Formula 2,True,250,250000,1.0
74,6,1898,3,3,500,1898-11-06,Preteky Formula 3,True,166,166666,1.0
75,1,1898,2,2,700,1898-12-11,Preteky Formula 1,True,1000,1000000,1.0
76,3,1898,0,0,55,1898-12-11,Preteky Formula E,True,166,166666,1.0
77,5,1898,0,0,55,1898-12-11,Preteky Formula 2,True,250,250000,1.0
78,6,1898,3,3,500,1898-12-11,Preteky Formula 3,True,166,166666,1.0
79,1,1899,1,1,244,1899-01-29,Preteky Formula 1,True,1000,1000000,1.0
80,3,1899,0,0,55,1899-01-29,Preteky Formula E,True,166,166666,1.0
81,5,1899,3,3,500,1899-01-29,Preteky Formula 2,True,250,250000,1.0
82,6,1899,1,1,244,1899-01-29,Preteky Formula 3,True,166,166666,1.0
83,1,1899,3,3,500,1899-03-05,Preteky Formula 1,True,1000,1000000,1.0
84,3,1899,0,0,55,1899-03-05,Preteky Formula E,True,166,166666,1.0
85,5,1899,0,0,55,1899-03-05,Preteky Formula 2,True,250,250000,1.0
86,6,1899,1,1,244,1899-03-05,Preteky Formula 3,True,166,166666,1.0
87,1,1899,0,0,55,1899-04-09,Preteky Formula 1,True,1000,1000000,1.0
88,3,1899,3,3,500,1899-04-09,Preteky Formula E,True,166,166666,1.0
89,5,1899,3,3,500,1899-04-09,Preteky Formula 2,True,250,250000,1.0
90,6,1899,0,0,55,1899-04-09,Preteky Formula 3,True,166,166666,1.0
91,1,1899,1,1,244,1899-05-14,Preteky Formula 1,True,1000,1000000,1.0
92,3,1899,3,3,500,1899-05-14,Preteky Formula E,True,166,166666,1.0
93,5,1899,3,3,500,1899-05-14,Preteky Formula 2,True,250,250000,1.0
94,6,1899,2,2,700,1899-05-14,Preteky Formula 3,True,166,166666,1.0
95,1,1899,2,2,700,1899-06-18,Preteky Formula 1,True,1000,1000000,1.0
96,3,1899,3,3,500,1899-06-18,Preteky Formula E,True,166,166666,1.0
97,5,1899,2,2,700,1899-06-18,Preteky Formula 2,True,250,250000,1.0
98,6,1899,2,2,700,1899-06-18,Preteky Formula 3,True,166,166666,1.0
99,1,1899,0,0,55,1899-07-23,Preteky Formula 1,True,1000,1000000,1.0
100,3,1899,0,0,55,1899-07-23,Preteky Formula E,True,166,166666,1.0
101,5,1899,1,1,244,1899-07-23,Preteky Formula 2,True,250,250000,1.0
102,6,1899,1,1,244,1899-07-23,Preteky Formula 3,False,166,166666,1.0
103,1,1899,1,1,244,1899-08-27,Preteky Formula 1,True,1000,1000000,1.0
104,3,1899,3,3,500,1899-08-27,Preteky Formula E,True,166,166666,1.0
105,5,1899,0,0,55,1899-08-27,Preteky Formula 2,True,250,250000,1.0
106,6,1899,1,1,244,1899-08-27,Preteky Formula 3,True,166,166666,1.0
107,1,1899,1,1,244,1899-10-01,Preteky Formula 1,True,1000,1000000,1.0
108,3,1899,3,3,500,1899-10-01,Preteky Formula E,True,166,166666,1.0
109,5,1899,2,2,700,1899-10-01,Preteky Formula 2,True,250,250000,1.0
110,6,1899,3,3,500,1899-10-01,Preteky Formula 3,True,166,166666,1.0
111,1,1899,3,3,500,1899-11-05,Preteky Formula 1,True,1000,1000000,1.0
112,3,1899,0,0,55,1899-11-05,Preteky Formula E,True,166,166666,1.0
113,5,1899,3,3,500,1899-11-05,Preteky Formula 2,True,250,250000,1.0
114,6,1899,3,3,500,1899-11-05,Preteky Formula 3,True,166,166666,1.1400000000000001
115,1,1899,2,2,700,1899-12-10,Preteky Formula 1,True,1000,1000000,1.0
116,3,1899,0,0,55,1899-12-10,Preteky Formula E,True,166,166666,1.0
117,5,1899,0,0,55,1899-12-10,Preteky Formula 2,True,250,250000,1.0
118,6,1899,1,1,244,1899-12-10,Preteky Formula 3,True,166,166666,1.0
119,1,1900,0,0,55,1900-02-04,Preteky Formula 1,True,1000,1000000,1.0
120,3,1900,3,3,500,1900-02-04,Preteky Formula E,True,166,166666,1.0
121,5,1900,1,1,244,1900-02-04,Preteky Formula 2,True,250,250000,1.0
122,6,1900,2,2,700,1900-02-04,Preteky Formula 3,True,166,166666,1.0
123,1,1900,2,2,700,1900-03-11,Preteky Formula 1,True,1000,1000000,1.0
124,3,1900,1,1,244,1900-03-11,Preteky Formula E,True,166,166666,1.0
125,5,1900,0,0,55,1900-03-11,Preteky Formula 2,True,250,250000,1.0
126,6,1900,0,0,55,1900-03-11,Preteky Formula 3,True,166,166666,1.03
127,1,1900,0,0,55,1900-04-15,Preteky Formula 1,True,1000,1000000,1.0
128,3,1900,0,0,55,1900-04-15,Preteky Formula E,True,166,166666,1.0
129,5,1900,2,2,700,1900-04-15,Preteky Formula 2,True,250,250000,1.0
130,6,1900,3,3,500,1900-04-15,Preteky Formula 3,True,166,166666,1.0
131,1,1900,0,0,55,1900-05-20,Preteky Formula 1,True,1000,1000000,1.0
132,3,1900,0,0,55,1900-05-20,Preteky Formula E,True,166,166666,1.0
133,5,1900,1,1,244,1900-05-20,Preteky Formula 2,True,250,250000,1.0
134,6,1900,1,1,244,1900-05-20,Preteky Formula 3,True,166,166666,1.0
135,1,1900,0,0,55,1900-06-24,Preteky Formula 1,True,1000,1000000,1.0
136,3,1900,2,2,700,1900-06-24,Preteky Formula E,True,166,166666,1.0
137,5,1900,2,2,700,1900-06-24,Preteky Formula 2,True,250,250000,1.0
138,6,1900,3,3,500,1900-06-24,Preteky Formula 3,True,166,166666,1.0
139,1,1900,0,0,55,1900-07-29,Preteky Formula 1,True,1000,1000000,1.0
140,3,1900,2,2,700,1900-07-29,Preteky Formula E,True,166,166666,1.0
141,5,1900,0,0,55,1900-07-29,Preteky Formula 2,True,250,250000,1.0
142,6,1900,1,1,244,1900-07-29,Preteky Formula 3,False,166,166666,1.0
143,1,1900,1,1,244,1900-09-02,Preteky Formula 1,True,1000,1000000,1.43
144,3,1900,0,0,55,1900-09-02,Preteky Formula E,True,166,166666,1.0
145,5,1900,0,0,55,1900-09-02,Preteky Formula 2,True,250,250000,1.0
146,6,1900,0,0,55,1900-09-02,Preteky Formula 3,True,166,166666,1.0
147,1,1900,3,3,500,1900-10-07,Preteky Formula 1,True,1000,1000000,1.0
148,3,1900,3,3,500,1900-10-07,Preteky Formula E,True,166,166666,1.0
149,5,1900,3,3,500,1900-10-07,Preteky Formula 2,True,250,250000,1.0
150,6,1900,2,2,700,1900-10-07,Preteky Formula 3,True,166,166666,1.27
151,1,1900,3,3,500,1900-11-11,Preteky Formula 1,True,1000,1000000,1.0
152,3,1900,2,2,700,1900-11-11,Preteky Formula E,True,166,166666,1.21
153,5,1900,1,1,244,1900-11-11,Preteky Formula 2,True,250,250000,1.0
154,6,1900,0,0,55,1900-11-11,Preteky Formula 3,True,166,166666,1.0
155,1,1900,2,2,700,1900-12-16,Preteky Formula 1,True,1000,1000000,1.24
156,3,1900,0,0,55,1900-12-16,Preteky Formula E,True,166,166666,1.0
157,5,1900,3,3,500,1900-12-16,Preteky Formula 2,True,250,250000,1.0
158,6,1900,3,3,500,1900-12-16,Preteky Formula 3,True,166,166666,1.0
159,1,1901,0,0,55,1901-02-03,Preteky Formula 1,True,1000,1000000,1.0
160,3,1901,1,1,244,1901-02-03,Preteky Formula E,True,166,166666,1.0
161,5,1901,2,2,700,1901-02-03,Preteky Formula 2,True,250,250000,1.0
162,6,1901,2,2,700,1901-02-03,Preteky Formula 3,True,166,166666,1.0
163,1,1901,0,0,55,1901-03-10,Preteky Formula 1,True,1000,1000000,1.0
164,3,1901,0,0,55,1901-03-10,Preteky Formula E,True,166,166666,1.0
165,5,1901,3,3,500,1901-03-10,Preteky Formula 2,True,250,250000,1.0
166,6,1901,0,0,55,1901-03-10,Preteky Formula 3,True,166,166666,1.0
167,1,1901,1,1,244,1901-04-14,Preteky Formula 1,True,1000,1000000,1.0
168,3,1901,2,2,700,1901-04-14,Preteky Formula E,True,166,166666,1.0
169,5,1901,3,3,500,1901-04-14,Preteky Formula 2,True,250,250000,1.0
170,6,1901,0,0,55,1901-04-14,Preteky Formula 3,True,166,166666,1.0
171,1,1901,2,2,700,1901-05-19,Preteky Formula 1,True,1000,1000000,1.0
172,3,1901,3,3,500,1901-05-19,Preteky Formula E,True,166,166666,1.0
173,5,1901,1,1,244,1901-05-19,Preteky Formula 2,True,250,250000,1.08
174,6,1901,2,2,700,1901-05-19,Preteky Formula 3,True,166,166666,1.0
175,1,1901,3,3,500,1901-06-23,Preteky Formula 1,True,1000,1000000,1.0
176,3,1901,3,3,500,1901-06-23,Preteky Formula E,True,166,166666,1.0
177,5,1901,3,3,500,1901-06-23,Preteky Formula 2,True,250,250000,1.0
178,6,1901,2,2,700,1901-06-23,Preteky Formula 3,True,166,166666,1.43
179,1,1901,1,1,244,1901-07-28,Preteky Formula 1,True,1000,1000000,1.0
180,3,1901,3,3,500,1901-07-28,Preteky Formula E,True,166,166666,1.24
181,5,1901,3,3,500,1901-07-28,Preteky Formula 2,True,250,250000,1.0
182,6,1901,2,2,700,1901-07-28,Preteky Formula 3,False,166,166666,1.0
183,1,1901,0,0,55,1901-09-01,Preteky Formula 1,True,1000,1000000,1.0
184,3,1901,0,0,55,1901-09-01,Preteky Formula E,True,166,166666,1.0
185,5,1901,3,3,500,1901-09-01,Preteky Formula 2,True,250,250000,1.0
186,6,1901,1,1,244,1901-09-01,Preteky Formula 3,True,166,166666,1.0
187,1,1901,3,3,500,1901-10-06,Preteky Formula 1,True,1000,1000000,1.0
188,3,1901,0,0,55,1901-10-06,Preteky Formula E,True,166,166666,1.0
189,5,1901,2,2,700,1901-10-06,Preteky Formula 2,True,250,250000,1.0
190,6,1901,2,2,700,1901-10-06,Preteky Formula 3,True,166,166666,1.0
191,1,1901,1,1,244,1901-11-10,Preteky Formula 1,True,1000,1000000,1.0
192,3,1901,2,2,700,1901-11-10,Preteky Formula E,True,166,166666,1.0
193,5,1901,1,1,244,1901-11-10,Preteky Formula 2,True,250,250000,1.0
194,6,1901,3,3,500,1901-11-10,Preteky Formula 3,True,166,166666,1.0
195,1,1901,0,0,55,1901-12-15,Preteky Formula 1,True,1000,1000000,1.0
196,3,1901,1,1,244,1901-12-15,Preteky Formula E,True,166,166666,1.0
197,5,1901,1,1,244,1901-12-15,Preteky Formula 2,True,250,250000,1.07
198,6,1901,1,1,244,1901-12-15,Preteky Formula 3,True,166,166666,1.0
199,1,1902,2,2,700,1902-02-02,Preteky Formula 1,True,1000,1000000,1.0
200,3,1902,3,3,500,1902-02-02,Preteky Formula E,True,166,166666,1.0
201,5,1902,1,1,244,1902-02-02,Preteky Formula 2,True,250,250000,1.0
202,6,1902,1,1,244,1902-02-02,Preteky Formula 3,True,166,166666,1.0
203,1,1902,1,1,244,1902-03-09,Preteky Formula 1,True,1000,1000000,1.0
204,3,1902,1,1,244,1902-03-09,Preteky Formula E,True,166,166666,1.0
205,5,1902,2,2,700,1902-03-09,Preteky Formula 2,True,250,250000,1.0
206,6,1902,0,0,55,1902-03-09,Preteky Formula 3,True,166,166666,1.0
207,1,1902,0,0,55,1902-04-13,Preteky Formula 1,True,1000,1000000,1.0
208,3,1902,2,2,700,1902-04-13,Preteky Formula E,True,166,166666,1.0
209,5,1902,3,3,500,1902-04-13,Preteky Formula 2,True,250,250000,1.0
210,6,1902,2,2,700,1902-04-13,Preteky Formula 3,True,166,166666,1.0
211,1,1902,3,3,500,1902-05-18,Preteky Formula 1,True,1000,1000000,1.0
212,3,1902,3,3,500,1902-05-18,Preteky Formula E,True,166,166666,1.0
213,5,1902,1,1,244,1902-05-18,Preteky Formula 2,True,250,250000,1.11
214,6,1902,3,3,500,1902-05-18,Preteky Formula 3,True,166,166666,1.0
215,1,1902,2,2,700,1902-06-22,Preteky Formula 1,True,1000,1000000,1.0
216,3,1902,3,3,500,1902-06-22,Preteky Formula E,True,166,166666,1.0
217,5,1902,0,0,55,1902-06-22,Preteky Formula 2,True,250,250000,1.0
218,6,1902,1,1,244,1902-06-22,Preteky Formula 3,True,166,166666,1.47
219,1,1902,1,1,244,1902-07-27,Preteky Formula 1,True,1000,1000000,1.35
220,3,1902,1,1,244,1902-07-27,Preteky Formula E,True,166,166666,1.0
221,5,1902,2,2,700,1902-07-27,Preteky Formula 2,True,250,250000,1.0
222,6,1902,2,2,700,1902-07-27,Preteky Formula 3,False,166,166666,1.0
223,1,1902,2,2,700,1902-08-31,Preteky Formula 1,True,1000,1000000,1.0
224,3,1902,0,0,55,1902-08-31,Preteky Formula E,True,166,166666,1.0
225,5,1902,3,3,500,1902-08-31,Preteky Formula 2,True,250,250000,1.05
226,6,1902,2,2,700,1902-08-31,Preteky Formula 3,True,166,166666,1.0
227,1,1902,3,3,500,1902-10-05,Preteky Formula 1,True,1000,1000000,1.0
228,3,1902,0,0,55,1902-10-05,Preteky Formula E,True,166,166666,1.0
229,5,1902,0,0,55,1902-10-05,Preteky Formula 2,True,250,250000,1.0
230,6,1902,2,2,700,1902-10-05,Preteky Formula 3,True,166,166666,1.0
231,1,1902,0,0,55,1902-11-09,Preteky Formula 1,True,1000,1000000,1.3
232,3,1902,3,3,500,1902-11-09,Preteky Formula E,True,166,166666,1.0
233,5,1902,3,3,500,1902-11-09,Preteky Formula 2,True,250,250000,1.0
234,6,1902,0,0,55,1902-11-09,Preteky Formula 3,True,166,166666,1.0
235,1,1902,2,2,700,1902-12-14,Preteky Formula 1,True,1000,1000000,1.0
236,3,1902,1,1,244,1902-12-14,Preteky Formula E,True,166,166666,1.0
237,5,1902,1,1,244,1902-12-14,Preteky Formula 2,True,250,250000,1.0
238,6,1902,0,0,55,1902-12-14,Preteky Formula 3,True,166,166666,1.0
239,1,1903,0,0,55,1903-02-01,Preteky Formula 1,True,1000,1000000,1.33
240,3,1903,3,3,500,1903-02-01,Preteky Formula E,True,166,166666,1.0
241,5,1903,1,1,244,1903-02-01,Preteky Formula 2,True,250,250000,1.3
242,6,1903,3,3,500,1903-02-01,Preteky Formula 3,True,166,166666,1.19
243,1,1903,3,3,500,1903-03-08,Preteky Formula 1,True,1000,1000000,1.0
244,3,1903,3,3,500,1903-03-08,Preteky Formula E,True,166,166666,1.0
245,5,1903,2,2,700,1903-03-08,Preteky Formula 2,True,250,250000,1.0
246,6,1903,2,2,700,1903-03-08,Preteky Formula 3,True,166,166666,1.0
247,1,1903,2,2,700,1903-04-12,Preteky Formula 1,True,1000,1000000,1.0
248,3,1903,0,0,55,1903-04-12,Preteky Formula E,True,166,166666,1.0
249,5,1903,2,2,700,1903-04-12,Preteky Formula 2,True,250,250000,1.0
250,6,1903,0,0,55,1903-04-12,Preteky Formula 3,True,166,166666,1.0
251,1,1903,1,1,244,1903-05-17,Preteky Formula 1,True,1000,1000000,1.0
252,3,1903,0,0,55,1903-05-17,Preteky Formula E,True,166,166666,1.0
253,5,1903,3,3,500,1903-05-17,Preteky Formula 2,True,250,250000,1.3900000000000001
254,6,1903,3,3,500,1903-05-17,Preteky Formula 3,True,166,166666,1.0
255,1,1903,0,0,55,1903-06-21,Preteky Formula 1,True,1000,1000000,1.47
256,3,1903,2,2,700,1903-06-21,Preteky Formula E,True,166,166666,1.0
257,5,1903,2,2,700,1903-06-21,Preteky Formula 2,True,250,250000,1.0
258,6,1903,2,2,700,1903-06-21,Preteky Formula 3,True,166,166666,1.0
259,1,1903,1,1,244,1903-07-26,Preteky Formula 1,True,1000,1000000,1.0
260,3,1903,2,2,700,1903-07-26,Preteky Formula E,True,166,166666,1.0
261,5,1903,1,1,244,1903-07-26,Preteky Formula 2,True,250,250000,1.46
262,6,1903,2,2,700,1903-07-26,Preteky Formula 3,False,166,166666,1.0
263,1,1903,3,3,500,1903-08-30,Preteky Formula 1,True,1000,1000000,1.0
264,3,1903,1,1,244,1903-08-30,Preteky Formula E,True,166,166666,1.0
265,5,1903,0,0,55,1903-08-30,Preteky Formula 2,True,250,250000,1.0
266,6,1903,2,2,700,1903-08-30,Preteky Formula 3,True,166,166666,1.03
267,1,1903,0,0,55,1903-10-04,Preteky Formula 1,True,1000,1000000,1.0
268,3,1903,2,2,700,1903-10-04,Preteky Formula E,True,166,166666,1.0
269,5,1903,1,1,244,1903-10-04,Preteky Formula 2,True,250,250000,1.0
270,6,1903,3,3,500,1903-10-04,Preteky Formula 3,True,166,166666,1.0
271,1,1903,2,2,700,1903-11-08,Preteky Formula 1,True,1000,1000000,1.0
272,3,1903,3,3,500,1903-11-08,Preteky Formula E,True,166,166666,1.0
273,5,1903,0,0,55,1903-11-08,Preteky Formula 2,True,250,250000,1.0
274,6,1903,3,3,500,1903-11-08,Preteky Formula 3,True,166,166666,1.0
275,1,1903,0,0,55,1903-12-13,Preteky Formula 1,True,1000,1000000,1.22
276,3,1903,1,1,244,1903-12-13,Preteky Formula E,True,166,166666,1.0
277,5,1903,2,2,700,1903-12-13,Preteky Formula 2,True,250,250000,1.0
278,6,1903,0,0,55,1903-12-13,Preteky Formula 3,True,166,166666,1.45
279,1,1904,1,1,244,1904-01-31,Preteky Formula 1,True,1000,1000000,1.0
280,3,1904,3,3,500,1904-01-31,Preteky Formula E,True,166,166666,1.0
281,5,1904,0,0,55,1904-01-31,Preteky Formula 2,True,250,250000,1.0
282,6,1904,0,0,55,1904-01-31,Preteky Formula 3,True,166,166666,1.0
283,1,1904,0,0,55,1904-03-06,Preteky Formula 1,True,1000,1000000,1.0
284,3,1904,1,1,244,1904-03-06,Preteky Formula E,True,166,166666,1.0
285,5,1904,2,2,700,1904-03-06,Preteky Formula 2,True,250,250000,1.0
286,6,1904,1,1,244,1904-03-06,Preteky Formula 3,True,166,166666,1.0
287,1,1904,0,0,55,1904-04-10,Preteky Formula 1,True,1000,1000000,1.0
288,3,1904,0,0,55,1904-04-10,Preteky Formula E,True,166,166666,1.0
289,5,1904,0,0,55,1904-04-10,Preteky Formula 2,True,250,250000,1.0
290,6,1904,1,1,244,1904-04-10,Preteky Formula 3,True,166,166666,1.0
291,1,1904,1,1,244,1904-05-15,Preteky Formula 1,True,1000,1000000,1.24
292,3,1904,3,3,500,1904-05-15,Preteky Formula E,True,166,166666,1.0
293,5,1904,0,0,55,1904-05-15,Preteky Formula 2,True,250,250000,1.0
294,6,1904,2,2,700,1904-05-15,Preteky Formula 3,True,166,166666,1.0
295,1,1904,3,3,500,1904-06-19,Preteky Formula 1,True,1000,1000000,1.0
296,3,1904,2,2,700,1904-06-19,Preteky Formula E,True,166,166666,1.0
297,5,1904,3,3,500,1904-06-19,Preteky Formula 2,True,250,250000,1.0
298,6,1904,2,2,700,1904-06-19,Preteky Formula 3,True,166,166666,1.0
299,1,1904,2,2,700,1904-07-24,Preteky Formula 1,True,1000,1000000,1.0
300,3,1904,0,0,55,1904-07-24,Preteky Formula E,True,166,166666,1.23
301,5,1904,2,2,700,1904-07-24,Preteky Formula 2,True,250,250000,1.0
302,6,1904,1,1,244,1904-07-24,Preteky Formula 3,False,166,166666,1.0
303,1,1904,0,0,55,1904-08-28,Preteky Formula 1,True,1000,1000000,1.0
304,3,1904,3,3,500,1904-08-28,Preteky Formula E,True,166,166666,1.0
305,5,1904,3,3,500,1904-08-28,Preteky Formula 2,True,250,250000,1.0
306,6,1904,2,2,700,1904-08-28,Preteky Formula 3,True,166,166666,1.0
307,1,1904,2,2,700,1904-10-02,Preteky Formula 1,True,1000,1000000,1.0
308,3,1904,3,3,500,1904-10-02,Preteky Formula E,True,166,166666,1.42
309,5,1904,2,2,700,1904-10-02,Preteky Formula 2,True,250,250000,1.33
310,6,1904,0,0,55,1904-10-02,Preteky Formula 3,True,166,166666,1.0
311,1,1904,3,3,500,1904-11-06,Preteky Formula 1,True,1000,1000000,1.0
312,3,1904,3,3,500,1904-11-06,Preteky Formula E,True,166,166666,1.0
313,5,1904,1,1,244,1904-11-06,Preteky Formula 2,True,250,250000,1.0
314,6,1904,0,0,55,1904-11-06,Preteky Formula 3,True,166,166666,1.02
315,1,1904,3,3,500,1904-12-11,Preteky Formula 1,True,1000,1000000,1.13
316,3,1904,0,0,55,1904-12-11,Preteky Formula E,True,166,166666,1.0
317,5,1904,2,2,700,1904-12-11,Preteky Formula 2,True,250,250000,1.0
318,6,1904,1,1,244,1904-12-11,Preteky Formula 3,True,166,166666,1.0
319,1,1905,3,3,500,1905-01-29,Preteky Formula 1,True,1000,1000000,1.0
320,3,1905,3,3,500,1905-01-29,Preteky Formula E,True,166,166666,1.0
321,5,1905,2,2,700,1905-01-29,Preteky Formula 2,True,250,250000,1.0
322,6,1905,0,0,55,1905-01-29,Preteky Formula 3,True,166,166666,1.0
323,1,1905,3,3,500,1905-03-05,Preteky Formula 1,True,1000,1000000,1.0
324,3,1905,2,2,700,1905-03-05,Preteky Formula E,True,166,166666,1.0
325,5,1905,1,1,244,1905-03-05,Preteky Formula 2,True,250,250000,1.12
326,6,1905,2,2,700,1905-03-05,Preteky Formula 3,True,166,166666,1.0
327,1,1905,2,2,700,1905-04-09,Preteky Formula 1,True,1000,1000000,1.0
328,3,1905,3,3,500,1905-04-09,Preteky Formula E,True,166,166666,1.0
329,5,1905,0,0,55,1905-04-09,Preteky Formula 2,True,250,250000,1.0
330,6,1905,1,1,244,1905-04-09,Preteky Formula 3,True,166,166666,1.0
331,1,1905,3,3,500,1905-05-14,Preteky Formula 1,True,1000,1000000,1.0
332,3,1905,2,2,700,1905-05-14,Preteky Formula E,True,166,166666,1.0
333,5,1905,2,2,700,1905-05-14,Preteky Formula 2,True,250,250000,1.0
334,6,1905,3,3,500,1905-05-14,Preteky Formula 3,True,166,166666,1.0
